Jahr;Gastgeberland;Gewinner;Gastgeberkontinent;Gewinnerkontinent
1930;Uruguay;Uruguay;Südamerika;Südamerika
1934;Italien;Italien;Europa;Europa
1938;Frankreich;Italien;Europa;Europa
1950;Brasilien;Uruguay;Südamerika;Südamerika
1954;Schweiz;BR Deutschland;Europa;Europa
1958;Schweden;Brasilien;Europa;Südamerika
1962;Chile;Brasilien;Südamerika;Südamerika
1966;England;England;Europa;Europa
1970;Mexiko;Brasilien;Nordamerika;Südamerika
1974;BR Deutschland;BR Deutschland;Europa;Europa
1978;Argentinien;Argentinien;Südamerika;Südamerika
1982;Spanien;Italien;Europa;Europa
1986;Mexiko;Argentinien;Nordamerika;Südamerika
1990;Italien;BR Deutschland;Europa;Europa
1994;USA;Brasilien;Nordamerika;Südamerika
1998;Frankreich;Frankreich;Europa;Europa
2002;Südkorea und Japan;Brasilien;Asien;Südamerika
2006;Deutschland;Italien;Europa;Europa
2010;Südafrika;Spanien;Afrika;Europa
2014;Brasilien;Deutschland;Südamerika;Europa
