Titel                        | Sitzung | Zeile | Spalte
Stichproben                  | 1       | 1     | 1
Skalenniveaus                | 1       | 1     | 1
Lagemaße                     | 2       | 1     | 1
Streumaße                    | 2       | 1     | 1
$z$-Transformation           | 3       | 1     | 1
Normalverteilung             | 3       | 1     | 2
Punktschätzung               | 4       | 1     | 2
Intervallschätzung           | 4       | 1     | 2
$z$-Test                     | 5       | 1     | 3
1-SP-$t$-Test                     | 5       | 1     | 3
2-SP-$t$-Test                     | 6       | 1     | 3
$F$-Test                     | 6       | 1     | 3
Kovarianz                    | 7       | 2     | 1
Korrelation                  | 7       | 2     | 1
Lineare Regression           | 8       | 2     | 2
$\phi$-Koeffizient          | 9       | 2     | 1
Cramér-Index                 | 9       | 2     | 1
$\chi^2$-Anpassungstest     | 10      | 1     | 3
$\chi^2$-Unabängigkeitstest | 10      | 2     | 3
